Number;Storage;Name;Est.;Country;Type;ABV;Vol;Date
;Big brown;Barry Island;;UK;American IPA;6;500;
;Big brown;Jennings;1828;UK;Cumberland ale;4.7;500;02/05/2014
;Big brown;Sussex Golden Ale;;UK;golden ale;3.8;500;
392;Big brown;Old Peculier;1827;UK;ale;5.6;500;15/10/2019
;Big brown;Old Peculier;1827;UK;ale;5.6;500;
;Big brown;Banks’s;1875;UK;bitter;3.8;500;
393;Big brown;Banks's;1875;UK;amber ale;3.8;500;16/10/2019
;Big brown;Blue Moon;;UK;wheat beer;5.4;330;
229;Big brown;Blue Moon;1995;UK;wheat beer;5.4;330;07/09/2018
474;Big brown;Gem;1995;UK;amber ale;4.8;500;29/02/2020
475;Big brown;Old Tom;1899;UK;strong ale;8.5;330;01/03/2020
234;Big brown;Courage Directors;1787;UK;ale;4.8;500;13/09/2018
;Big brown;Courage;1787;UK;bitter;3.6;500;
;Big brown;Crest;;UK;beer;10;500;
;Big brown;Tennent’s Super;;UK;lager;9;500;
408;Big brown;Tangle Foot;;UK;golden ale;5;500;26/11/2019
;Big brown;Broughton Old Jock;1979;UK;Scotch ale;6.7;500;16/08/2017
;Big brown;Schiehallion;1983;UK;lager;4.8;500;
;Big brown;Butcombe;1978;UK;bitter;4.5;500;27/03/2014
;Big brown;Bira London;;UK;beer;4;330;18/06/2017
;Big brown;Hop House 13;;UK;lager;4.1;500;
;Big brown;Double Hop Monster;;UK;IPA;7.2;330;07/12/2017
;Big brown;By the Horns;;UK;lager;4.5;330;
763;Big brown;Abbot Reserve;1799;UK;;6.5;500;11/01/2022
;Big brown;Abbot Ale;1799;UK;ale;5;500;
;Big brown;Twisted Wheel;;UK;;4;500;
;Big brown;Foundry Torpedo;;UK;bitter;4.5;500;
227;Big brown;Pheasant Plucker;;UK;amber ale;4.5;500;
235;Big brown;Moorhouse's White Witch;;UK;blonde ale;3.9;500;13/09/2018
256;Big brown;Freedom Four;1995;UK;lager;4;330;27/11/2018
