Number,Storage,Name,Est.,Country,Type,ABV,Date,Memory,,git repo,,
635,Blue,Scorilo,,RO,blonde,5,10/04/2021,Grătar la Dan 3/3,,,,
649,Blue,La Llorona,,RO,amber ale,6.3,14/05/2021,First arXiv submission,,,,
648,Blue,Deranj,,RO,wheat,5,07/05/2021,Start of swimming season,,,,
651,Blue,Deranj,,RO,IPA,5.8,24/05/2021,First draft of the theory chapter,,,,
590,Blue,Meșterul Manole Bock,,RO,Bock,6.3,22/12/2020,La Niq cu Herța și Teo 3/3,,,,
592,Blue,Meșterul Manole Buchetul Anei,,RO,lager,4.5,24/12/2020,Ajunul Crăciunului,,,,
1020,Blue,Meșterul Manole Blondă,,RO,blonde,6.3,29/12/2022,Grătar la Vlad Popa 1/7,,,,
1022,Blue,Meșterul Manole Viguros,,RO,blonde,5.3,29/12/2022,Grătar la Vlad Popa 3/7,,,,
652,Blue,Mustață,,RO,IPA,5.5,01/06/2021,Prânz la Liviu,,,,
760,Blue,Red Revolution,,RO,amber,5,31/12/2021,Octilion 3/3,,,,
1008,Blue,Olovina Pale Ale,,RO,pale ale,5.5,16/12/2022,La Liviu în București 2/3,,,,
1009,Blue,Olovina Pils,,RO,pilsner,4.8,16/12/2022,La Liviu în București 3/3,,,,
,Blue,Azuga,1870,RO,blone unpasteurised,5.5,09/07/2018,Home is where the shisha is,,,,
1016,Blue,Azuga Nefiltrată Weißbier,1870,RO,weißbier,5.3,25/12/2022,Deschidere Comandante de Crăciun,,,,
1030,Blue,Azuga Märzen,1870,RO,blone unpasteurised,5.5,04/01/2023,Drinks in Sinaia,,,,
374,Blue,1717,,RO,red ale,5.4,12/09/2019,Gata vacanța 2/2,,,,
1026,Blue,Urban Helles,,RO,helles,5,29/12/2022,Grătar la Vlad Popa 7/7,,,,
1028,Blue,Urban Märzen,,RO,märzen,5.5,31/12/2022,Revelion la Ganea 2/3,,,,
589,Blue,Plan Beer Golden Shower,,RO,blonde,4.5,22/12/2020,La Niq cu Herța și Teo 2/3,,,,
595,Blue,Plan Beer Fear of the Duck,,RO,IPA,6,28/12/2020,Movie night,,,,
754,Blue,Plan Beer Golden Shower,,RO,blonde,4.5,19/12/2021,Grătar la Dan 1/3,,,,
755,Blue,Plan Beer Fear of the Duck,,RO,IPA,6,19/12/2021,Grătar la Dan 2/3,,,,
1018,Blue,Plan Beer For Those About to Plan,,RO,red ale,5,28/12/2022,Duel Masters la Niq 2/3,,,,
1019,Blue,Plan Beer Malt Me Up,,RO,EPIA,5.8,28/12/2022,Duel Masters la Niq 3/3,,,,
1011,Blue,Grivița Abduction,,RO,APA,4.8,21/12/2022,În Halle cu prea mulți oameni la masă 1/3,,,,
1012,Blue,Grivița Hazy IPA,,RO,HIPA,5.2,21/12/2022,În Halle cu prea mulți oameni la masă 2/3,,,,
1013,Blue,Grivița Gold,,RO,pilsner,4.6,21/12/2022,În Halle cu prea mulți oameni la masă 3/3,,,,
1029,Blue,Albacher,,RO,pilsner,4.8,31/12/2022,Revelion la Ganea 3/3,,,,
1021,Blue,Clusa 1913,,RO,red lager,5.5,29/12/2022,Grătar la Vlad Popa 2/7,,,,
1023,Blue,Clusa 1919,,RO,helles,5.4,29/12/2022,Grătar la Vlad Popa 4/7,,,,
1024,Blue,Clusa 1989,,RO,IPA,6,29/12/2022,Grătar la Vlad Popa 5/7,,,,
